Garage Finish,Screen Porch,Enclosed Porch,Total Bsmt SF,Sale Type,Land Contour,Lot Area,BsmtFin SF 2,Overall Cond,Functional,Exter Qual,Foundation,Sale Condition,Year Built,Mas Vnr Area,SalePrice,Pool Area,Neighborhood,Street,Kitchen Qual,Bsmt Cond,BsmtFin Type 2,Fireplaces,Paved Drive,Bedroom AbvGr,Mas Vnr Type,Exterior 2nd,Kitchen AbvGr,Low Qual Fin SF,House Style,MS Zoning,Garage Area,Roof Style,Bsmt Unf SF,Electrical,TotRms AbvGrd,Garage Yr Blt,Roof Matl,Condition 1,Garage Qual,BsmtFin SF 1,2nd Flr SF,Yr Sold,Central Air,Condition 2,Bsmt Exposure,Year Remod/Add,Gr Liv Area,Open Porch SF,MS SubClass,Heating QC,BsmtFin Type 1,Exter Cond,3Ssn Porch,Garage Cond,Lot Config,Land Slope,Misc Val,Lot Frontage,Bsmt Qual,Garage Cars,Wood Deck SF,Full Bath,Garage Type,Half Bath,Bldg Type,Lot Shape,1st Flr SF,Exterior 1st,Overall Qual,Mo Sold,Bsmt Full Bath,Heating
Unf,0,121,0.0,WD ,Lvl,8250,0.0,7,Typ,TA,Slab,Normal,1935,0.0,125000,0,Edwards,Pave,TA,TA,Unf,1,Y,2,None,Wd Sdng,1,0,1Story,RL,260.0,Gable,0.0,SBrkr,6,1939.0,CompShg,Norm,TA,0.0,0,2006,N,Norm,No,1950,1032,0,30,TA,Unf,TA,0,TA,Inside,Gtl,0,55.0,TA,1.0,0,1,Detchd,0,1Fam,Reg,1032,Wd Sdng,5,6,0.0,GasA
RFn,0,0,530.0,WD ,Lvl,4447,0.0,5,Typ,Gd,PConc,Normal,2003,0.0,139000,0,Somerst,Pave,Gd,TA,Unf,0,Y,2,None,VinylSd,1,0,2Story,FV,496.0,Gable,530.0,SBrkr,4,2003.0,CompShg,Norm,TA,0.0,550,2006,Y,Norm,No,2003,1080,50,160,Ex,Unf,TA,0,TA,FR2,Gtl,0,69.2075858534085,Gd,2.0,0,2,Attchd,1,TwnhsE,IR1,530,VinylSd,7,7,0.0,GasA
Unf,0,0,1062.0,WD ,Lvl,8128,0.0,7,Typ,TA,CBlock,Normal,1954,80.0,131000,0,NAmes,Pave,TA,TA,Unf,0,Y,3,BrkFace,MetalSd,1,0,1Story,RL,297.0,Hip,572.0,SBrkr,6,1954.0,CompShg,Norm,TA,490.0,0,2009,Y,Norm,No,1954,1062,0,20,Gd,ALQ,TA,0,TA,CulDSac,Gtl,0,53.0,TA,1.0,0,1,Attchd,0,1Fam,IR1,1062,MetalSd,6,2,1.0,GasA
Fin,153,0,1573.0,New,HLS,5748,0.0,5,Typ,Gd,PConc,Partial,2005,473.0,375000,0,Crawfor,Pave,Ex,TA,Unf,1,Y,2,Stone,CmentBd,1,0,1Story,RM,495.0,Hip,0.0,SBrkr,5,2005.0,CompShg,Norm,TA,1573.0,0,2006,Y,Norm,Gd,2006,1778,53,120,Ex,GLQ,TA,0,TA,Inside,Mod,0,41.0,Ex,2.0,123,2,Attchd,0,TwnhsE,IR1,1778,CemntBd,8,2,2.0,GasA
Unf,0,51,960.0,WD ,Lvl,6120,0.0,6,Typ,TA,BrkTil,Abnorml,1925,0.0,115000,0,BrkSide,Pave,TA,TA,Unf,0,Y,2,None,MetalSd,1,0,1Story,RM,264.0,Gable,960.0,SBrkr,5,1926.0,CompShg,Norm,TA,0.0,0,2009,Y,Norm,No,1999,995,15,30,Gd,Unf,TA,0,TA,Inside,Gtl,0,51.0,TA,1.0,0,1,Detchd,0,1Fam,Reg,995,MetalSd,5,3,0.0,GasA
RFn,0,176,1253.0,WD ,Lvl,10920,0.0,5,Typ,TA,CBlock,Normal,1960,212.0,157000,0,NAmes,Pave,TA,TA,Unf,1,Y,2,BrkFace,MetalSd,1,0,1Story,RL,352.0,Hip,520.0,SBrkr,5,1960.0,CompShg,Norm,TA,733.0,0,2008,Y,Norm,No,1960,1253,213,20,TA,BLQ,TA,0,TA,Corner,Gtl,0,69.2075858534085,TA,1.0,0,1,Attchd,1,1Fam,IR1,1253,MetalSd,6,5,1.0,GasA
Unf,0,0,1150.0,WD ,Lvl,11767,0.0,5,Min1,TA,CBlock,Normal,1956,259.0,103500,0,Edwards,Pave,TA,TA,Unf,1,Y,2,BrkFace,HdBoard,1,0,1Story,RL,313.0,Hip,604.0,SBrkr,7,1956.0,CompShg,Norm,TA,546.0,0,2009,Y,Norm,No,1956,1560,0,20,Ex,Rec,TA,0,TA,Inside,Gtl,0,70.0,TA,1.0,0,1,Attchd,0,1Fam,Reg,1560,HdBoard,5,5,0.0,GasA
Fin,0,0,547.0,New,Lvl,3675,0.0,5,Typ,TA,PConc,Partial,2005,82.0,142500,0,Edwards,Pave,TA,TA,Unf,0,Y,2,BrkFace,VinylSd,1,0,SFoyer,RM,525.0,Gable,0.0,SBrkr,5,2005.0,CompShg,Norm,TA,547.0,0,2006,Y,Norm,Gd,2006,1072,44,180,Gd,GLQ,TA,0,TA,Inside,Gtl,0,35.0,Gd,2.0,0,1,Basment,0,TwnhsE,Reg,1072,VinylSd,6,10,1.0,GasA
Unf,0,81,1067.0,WD ,Bnk,15600,507.0,7,Maj2,TA,BrkTil,Normal,1949,0.0,158000,0,Crawfor,Pave,Fa,TA,Rec,1,Y,3,None,Brk Cmn,1,0,1.5Fin,RL,295.0,Gable,248.0,SBrkr,7,1949.0,CompShg,Norm,TA,312.0,537,2009,N,Norm,No,2005,1523,0,50,Fa,BLQ,TA,0,TA,Inside,Gtl,0,78.0,TA,1.0,0,2,Attchd,0,1Fam,Reg,986,BrkComm,5,10,1.0,GasW
RFn,0,0,840.0,WD ,Lvl,8749,0.0,5,Typ,Gd,PConc,Normal,2002,98.53978494623657,198500,0,CollgCr,Pave,Gd,TA,Unf,0,Y,3,None,VinylSd,1,0,2Story,RL,550.0,Gable,840.0,SBrkr,6,2002.0,CompShg,Norm,TA,0.0,885,2009,Y,Norm,No,2002,1725,48,60,Ex,Unf,TA,0,TA,Inside,Gtl,0,70.0,Gd,2.0,0,2,Attchd,1,1Fam,Reg,840,VinylSd,7,11,0.0,GasA
Unf,0,129,616.0,WD ,Lvl,6000,0.0,7,Typ,TA,CBlock,Normal,1921,0.0,89000,0,BrkSide,Pave,TA,TA,Unf,0,Y,2,None,Wd Shng,1,0,1Story,RM,205.0,Gable,0.0,SBrkr,4,1921.0,CompShg,Norm,TA,616.0,0,2006,Y,Norm,No,1950,616,0,30,Gd,LwQ,TA,0,TA,Inside,Gtl,0,50.0,TA,1.0,0,1,Detchd,0,1Fam,Reg,616,Wd Sdng,5,6,0.0,GasA
RFn,0,0,848.0,WD ,Lvl,4435,0.0,5,Typ,Gd,PConc,Normal,2004,169.0,155900,0,CollgCr,Pave,Gd,TA,Unf,1,Y,1,BrkFace,VinylSd,1,0,1Story,RM,420.0,Gable,186.0,SBrkr,3,2004.0,CompShg,Norm,TA,662.0,0,2006,Y,Norm,Mn,2004,848,0,120,Ex,GLQ,TA,0,TA,Inside,Gtl,0,37.0,Gd,2.0,140,1,Attchd,0,TwnhsE,Reg,848,VinylSd,6,5,1.0,GasA
Fin,0,0,1782.0,WD ,Lvl,16870,0.0,5,Typ,Gd,PConc,Normal,2004,238.0,296000,0,NridgHt,Pave,Gd,TA,Unf,2,Y,3,BrkFace,VinylSd,1,0,1Story,RL,932.0,Hip,251.0,SBrkr,7,2004.0,CompShg,Norm,TA,1531.0,0,2009,Y,Norm,Gd,2005,1782,82,20,Ex,GLQ,TA,0,TA,FR3,Gtl,0,129.0,Ex,3.0,99,2,Attchd,0,1Fam,IR1,1782,VinylSd,8,4,1.0,GasA
Fin,0,0,1316.0,New,Lvl,10237,0.0,5,Typ,Gd,PConc,Partial,2005,0.0,169990,0,Gilbert,Pave,Gd,TA,Unf,1,Y,3,None,VinylSd,1,0,1Story,RL,397.0,Gable,1288.0,SBrkr,6,2005.0,CompShg,RRAn,TA,28.0,0,2006,Y,Norm,No,2006,1316,0,20,Ex,GLQ,TA,23,TA,Inside,Gtl,0,65.0,Gd,2.0,100,2,Attchd,0,1Fam,Reg,1316,VinylSd,6,10,0.0,GasA
Unf,0,0,1144.0,WD ,Lvl,9571,0.0,6,Typ,TA,CBlock,Normal,1956,0.0,129000,0,Edwards,Pave,TA,TA,Unf,0,Y,3,None,Wd Sdng,1,0,1Story,RL,596.0,Gable,405.0,SBrkr,6,1956.0,CompShg,Norm,TA,739.0,0,2010,Y,Norm,Av,1956,1144,0,20,TA,BLQ,TA,0,TA,Inside,Gtl,0,68.0,TA,1.0,44,1,Attchd,0,1Fam,Reg,1144,Wd Sdng,5,6,1.0,GasA
Fin,0,0,1462.0,WD ,Lvl,15750,0.0,5,Typ,Gd,PConc,Normal,1999,260.0,220000,0,CollgCr,Pave,Gd,TA,Unf,1,Y,2,BrkFace,VinylSd,1,0,1Story,RL,521.0,Gable,216.0,SBrkr,5,1999.0,CompShg,Feedr,TA,1246.0,0,2009,Y,Norm,Gd,2000,1513,34,20,Ex,GLQ,TA,0,TA,FR3,Gtl,0,90.0,Gd,2.0,135,2,Attchd,0,1Fam,Reg,1513,VinylSd,8,6,1.0,GasA
RFn,0,0,1492.0,WD ,Lvl,8000,0.0,5,Typ,Gd,PConc,Normal,2002,0.0,230000,0,Somerst,Pave,Gd,TA,Unf,1,Y,3,None,VinylSd,1,0,1Story,FV,596.0,Gable,659.0,SBrkr,6,2002.0,CompShg,Norm,TA,833.0,0,2010,Y,Norm,No,2002,1492,137,20,Ex,GLQ,TA,0,TA,Inside,Gtl,0,80.0,Gd,2.0,277,2,Attchd,0,1Fam,Reg,1492,VinylSd,7,4,1.0,GasA
Unf,0,0,1151.0,WD ,Lvl,10284,66.0,7,Mod,TA,CBlock,Abnorml,1925,0.0,128500,0,OldTown,Pave,TA,TA,LwQ,0,Y,1,None,MetalSd,1,0,1.5Fin,RL,580.0,Gable,55.0,SBrkr,6,1978.0,CompShg,Norm,TA,1030.0,436,2007,Y,Norm,Mn,1993,1281,0,50,Ex,ALQ,TA,0,TA,Corner,Gtl,0,60.0,TA,2.0,0,2,Detchd,0,1Fam,Reg,845,MetalSd,4,8,1.0,GasA
Unf,0,0,910.0,WD ,Lvl,8520,0.0,4,Typ,TA,CBlock,Normal,1952,0.0,166000,0,NAmes,Pave,TA,TA,Unf,0,Y,4,None,Wd Sdng,1,0,1.5Fin,RL,720.0,Gable,403.0,SBrkr,6,2000.0,CompShg,Artery,TA,507.0,475,2010,Y,Norm,No,1952,1385,0,50,Fa,Rec,Fa,0,TA,Corner,Gtl,0,71.0,TA,2.0,0,2,Detchd,0,1Fam,Reg,910,BrkFace,5,6,0.0,GasA
Unf,0,0,641.0,WD ,Lvl,10800,0.0,7,Typ,TA,BrkTil,Normal,1885,0.0,100000,0,OldTown,Pave,TA,TA,Unf,0,N,2,None,VinylSd,1,0,1Story,RM,273.0,Mansard,641.0,SBrkr,6,1954.0,CompShg,Norm,Fa,0.0,0,2007,Y,Norm,No,1995,1047,0,30,Gd,Unf,TA,0,Fa,Inside,Gtl,450,60.0,Fa,1.0,0,1,Detchd,0,1Fam,Reg,1047,VinylSd,4,8,0.0,GasA
RFn,0,0,1222.0,WD ,Lvl,7360,0.0,5,Typ,Gd,PConc,Normal,2010,80.0,187000,0,CollgCr,Pave,Gd,TA,Unf,0,Y,2,Stone,VinylSd,1,0,1Story,RL,615.0,Gable,1198.0,SBrkr,6,2009.0,CompShg,Norm,TA,24.0,0,2010,Y,Norm,No,2010,1222,54,20,Ex,GLQ,TA,0,TA,Inside,Gtl,0,64.0,Gd,2.0,0,2,Attchd,0,1Fam,Reg,1222,VinylSd,7,3,0.0,GasA
Fin,0,0,1057.0,WD ,Lvl,7050,0.0,5,Typ,Gd,PConc,Normal,2001,0.0,226000,0,Somerst,Pave,Gd,TA,Unf,1,Y,3,None,VinylSd,1,0,2Story,FV,650.0,Gable,319.0,SBrkr,7,2001.0,CompShg,Norm,TA,738.0,872,2007,Y,Norm,No,2001,1929,235,60,Ex,GLQ,TA,0,TA,Inside,Gtl,0,69.2075858534085,Gd,2.0,0,2,Attchd,1,1Fam,Reg,1057,VinylSd,7,5,1.0,GasA
Unf,0,0,715.0,WD ,HLS,11988,0.0,7,Typ,TA,CBlock,Normal,1934,0.0,188700,0,Crawfor,Pave,TA,TA,Unf,1,Y,3,None,Stucco,1,0,2Story,RL,240.0,Hip,389.0,FuseA,6,1939.0,CompShg,Norm,TA,326.0,811,2008,Y,Norm,No,1995,1660,0,70,Fa,LwQ,TA,0,TA,Inside,Mod,0,74.0,TA,1.0,0,1,Detchd,1,1Fam,IR1,849,Stucco,6,8,0.0,GasA
RFn,0,0,1143.0,WD ,Lvl,3628,0.0,5,Typ,Gd,PConc,Normal,2004,0.0,176400,0,Somerst,Pave,Gd,TA,Unf,1,Y,1,None,MetalSd,1,0,1Story,FV,588.0,Gable,1143.0,SBrkr,5,2004.0,CompShg,Norm,TA,0.0,0,2006,Y,Norm,No,2004,1143,191,120,Ex,Unf,TA,0,TA,Inside,Gtl,0,34.0,Gd,2.0,0,1,Attchd,1,TwnhsE,Reg,1143,MetalSd,7,5,0.0,GasA
Unf,0,0,1073.0,WD ,Lvl,9571,0.0,5,Typ,TA,CBlock,Normal,1956,0.0,121500,0,Edwards,Pave,TA,TA,Unf,0,Y,2,None,MetalSd,1,0,1Story,RL,340.0,Hip,816.0,FuseA,5,1956.0,CompShg,Norm,TA,257.0,0,2009,Y,Norm,No,1956,1073,0,20,TA,Rec,TA,0,TA,Inside,Gtl,0,68.0,TA,1.0,0,1,Attchd,0,1Fam,Reg,1073,MetalSd,5,2,1.0,GasA
Fin,224,0,1260.0,WD ,Lvl,14963,0.0,5,Typ,Gd,PConc,Normal,1996,0.0,245500,0,Veenker,Pave,Ex,TA,Unf,2,Y,1,None,BrkFace,1,0,1Story,RL,500.0,Gable,474.0,SBrkr,4,1996.0,CompShg,Norm,TA,786.0,0,2008,Y,Norm,No,1996,1288,30,120,Ex,GLQ,TA,0,TA,Inside,Gtl,0,38.0,Gd,2.0,120,1,Attchd,1,TwnhsE,IR2,1288,BrkFace,8,12,1.0,GasA
Unf,0,0,1182.0,WD ,Bnk,11500,723.0,6,Typ,TA,CBlock,Normal,1966,0.0,195000,0,ClearCr,Pave,TA,Gd,ALQ,1,Y,2,None,Plywood,1,0,1Story,RL,438.0,Flat,197.0,SBrkr,6,1966.0,Tar&Grv,Norm,TA,262.0,0,2008,Y,Norm,Gd,1966,1643,0,20,Ex,LwQ,TA,0,TA,CulDSac,Gtl,0,69.2075858534085,Gd,2.0,339,2,Attchd,0,1Fam,IR1,1643,Plywood,6,3,1.0,GasA
Fin,0,0,1094.0,WD ,Lvl,12665,0.0,5,Typ,Gd,PConc,Normal,2005,245.0,281213,0,Timber,Pave,Gd,Gd,Unf,1,Y,4,BrkFace,VinylSd,1,0,2Story,RL,642.0,Hip,1094.0,SBrkr,9,2005.0,CompShg,Norm,TA,0.0,1349,2007,Y,Norm,Gd,2006,2482,39,60,Ex,Unf,TA,0,TA,Inside,Gtl,0,88.0,Gd,3.0,144,2,BuiltIn,1,1Fam,IR1,1133,VinylSd,8,2,0.0,GasA
Unf,0,0,864.0,WD ,Low,8885,324.0,5,Typ,TA,CBlock,Normal,1983,0.0,131000,0,Mitchel,Pave,TA,TA,ALQ,0,Y,2,None,HdBoard,1,0,1Story,RL,484.0,Gable,239.0,SBrkr,5,1983.0,CompShg,Norm,TA,301.0,0,2006,Y,Norm,Av,1983,902,0,20,TA,BLQ,TA,0,TA,Inside,Mod,0,69.2075858534085,Gd,2.0,164,1,Attchd,0,1Fam,IR1,902,HdBoard,5,6,1.0,GasA
Fin,0,0,1340.0,New,Lvl,8899,0.0,5,Typ,Gd,PConc,Partial,2007,0.0,181134,0,Gilbert,Pave,Gd,TA,Unf,0,Y,3,None,VinylSd,1,0,1Story,RL,396.0,Gable,1316.0,SBrkr,6,2007.0,CompShg,Norm,TA,24.0,0,2007,Y,Norm,Av,2007,1340,30,20,Ex,GLQ,TA,0,TA,Inside,Gtl,0,73.0,Gd,2.0,100,2,Attchd,0,1Fam,IR1,1340,VinylSd,7,8,0.0,GasA
RFn,0,0,764.0,WD ,Lvl,2448,0.0,5,Typ,Gd,PConc,Normal,2003,106.0,154000,0,NridgHt,Pave,Gd,TA,Unf,0,Y,2,Stone,Wd Shng,1,0,2Story,RL,474.0,Gable,191.0,SBrkr,6,2003.0,CompShg,Norm,TA,573.0,862,2008,Y,Norm,No,2004,1626,27,160,Ex,GLQ,TA,0,TA,Inside,Gtl,0,36.0,Gd,2.0,0,2,BuiltIn,1,Twnhs,Reg,764,VinylSd,7,10,1.0,GasA
Unf,0,0,1008.0,WD ,Lvl,13014,0.0,5,Typ,TA,CBlock,Normal,1978,39.0,157500,0,Sawyer,Pave,TA,TA,Unf,1,Y,3,BrkFace,Plywood,1,0,SLvl,RL,484.0,Gable,480.0,SBrkr,6,1978.0,CompShg,Norm,TA,528.0,0,2008,Y,Norm,Av,1978,1096,0,80,TA,ALQ,TA,0,TA,Inside,Gtl,0,80.0,TA,2.0,168,1,Attchd,0,1Fam,Reg,1096,HdBoard,6,12,1.0,GasA
Unf,0,0,624.0,WD ,Lvl,3600,0.0,7,Typ,TA,BrkTil,Normal,1917,0.0,119000,0,OldTown,Pave,Ex,TA,Unf,1,N,3,None,Stucco,1,0,2Story,RM,280.0,Gable,624.0,SBrkr,5,1917.0,CompShg,Norm,TA,0.0,624,2009,Y,Norm,No,2007,1288,103,70,Ex,Unf,TA,0,TA,Inside,Gtl,0,60.0,TA,1.0,0,1,Attchd,0,1Fam,Reg,664,Stucco,6,5,1.0,GasA
Unf,0,0,747.0,WD ,Lvl,13132,0.0,5,Typ,TA,BrkTil,Normal,1914,0.0,138887,0,Crawfor,Pave,TA,TA,Unf,0,N,4,None,Wd Sdng,1,0,2Story,RL,180.0,Gable,747.0,FuseF,9,1914.0,CompShg,Norm,Fa,0.0,892,2006,Y,Norm,Mn,1950,1784,40,70,Gd,Unf,TA,0,Fa,Inside,Gtl,0,96.0,Gd,1.0,203,1,Detchd,1,1Fam,Reg,892,Wd Sdng,5,7,0.0,GasA
Fin,0,0,1324.0,WD ,Lvl,6240,0.0,5,Typ,Gd,PConc,Normal,2006,176.0,254000,0,NridgHt,Pave,Gd,TA,Unf,1,Y,2,BrkFace,MetalSd,1,0,1Story,RL,550.0,Hip,461.0,SBrkr,6,2006.0,CompShg,Norm,TA,863.0,0,2009,Y,Norm,No,2006,1324,38,120,Ex,GLQ,TA,0,TA,Inside,Gtl,0,48.0,Gd,2.0,192,2,Attchd,0,TwnhsE,Reg,1324,MetalSd,8,12,1.0,GasA
Fin,0,280,1073.0,WD ,Lvl,14115,547.0,7,Typ,TA,PConc,Abnorml,1956,0.0,230000,0,Crawfor,Pave,Ex,TA,GLQ,1,Y,2,None,Stone,1,0,1Story,RL,470.0,Gable,230.0,SBrkr,6,1956.0,CompShg,Norm,TA,296.0,0,2006,Y,Norm,No,2004,1811,0,20,Ex,ALQ,TA,0,TA,Inside,Gtl,0,90.0,TA,2.0,0,1,Attchd,0,1Fam,IR1,1811,Stone,6,7,0.0,GasA
